"container_sha256","container_extension","representative_path","member_path","member_type","uncompressed_bytes","compressed_bytes","member_sha256","read_state"
"1176B7D1EC4E69F070FA81657DF5DD33D638F9F388CCBA8D82985AAB845DB9C9",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip","BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\manifest.sha256","FILE","429","303","EEB3EFD0DBDD1E2173CC19DD2293999ED26D3E97D3B2584235373F9D705CF662","DECOMPRESSED_BYTES_HASHED"
"1176B7D1EC4E69F070FA81657DF5DD33D638F9F388CCBA8D82985AAB845DB9C9",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip","BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\README.md","FILE","3208","1629","E757220AEA1BF3C8B9750B7B413CA9FE51CA7C140D89C69F73BCA87BAC1906B2","DECOMPRESSED_BYTES_HASHED"
"1176B7D1EC4E69F070FA81657DF5DD33D638F9F388CCBA8D82985AAB845DB9C9",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip","BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\result_claims.csv","FILE","1713","433","30DFA14850E1E7B89A2E84E62CA994F346A21DD65188B4FEC109ADE2CAEF112A","DECOMPRESSED_BYTES_HASHED"
"1176B7D1EC4E69F070FA81657DF5DD33D638F9F388CCBA8D82985AAB845DB9C9",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip","BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\source_reference.json","FILE","1765","896","419C94E72305111961332D71B48555F53CA7BA34AC5AB2BA5D465B09B644653E","DECOMPRESSED_BYTES_HASHED"
"1176B7D1EC4E69F070FA81657DF5DD33D638F9F388CCBA8D82985AAB845DB9C9",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip","BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\z_post_decision.json","FILE","1620","791","73C13FFB7DE780F49FAA65FFBDFC4C1CA1E715E3A2A1D187537D29A58C90A679","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip",".gitattributes","FILE","19","19","D60F352D0DB1404C70AFB4BB8B2CA3FD1C610572AA40720E8A0B7BAA7885418C","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip",".github/","DIRECTORY","0","0",,"DIRECTORY_ENTRY"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip",".github/workflows/","DIRECTORY","0","0",,"DIRECTORY_ENTRY"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip",".github/workflows/aeat-industrial-holdout.yml","FILE","2563","999","B80620CC65BB935D17980C7834A6442719E818C976C5A247D49124F43E0766B0","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip",".github/workflows/ci.yml","FILE","540","267","E7310AEF3AF4E67E74257A7663FC2B914147E068929BF9531E299DE3F71B3E6E","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip",".gitignore","FILE","656","343","2CD12748EF60E1DD4C0A75CA085BEBA00AC565C4D0A16DDD651C0995D98FD6BD","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/","DIRECTORY","0","0",,"DIRECTORY_ENTRY"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BIND_2026_POSITION_ES.md","FILE","2075","1089","86C03C483D76FB3228DA8939F05590A20A0148B436BC63090118EDCA002A3CD8","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BMA_AEAT_CH72_2022_2024_CONTINUOUS_CAUSAL_CHAIN_RESULT_ES.md","FILE","5475","2533","A2B714BDA7FF404D0BA3CB719991AD230CC8FAD8F1997DDE22191E4BF8536EE2","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BMA_AEAT_CH72_2024_CAUSAL_MINI_V0_6_5_RESULT_ES.md","FILE","6106","2810","ACB985B0B9957EB56F93451F79CFF3B99C054EF752095F06F51A51E0A4153414","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BMA_AEAT_CH72_NOV2024_V0_6_1_RESULT_ES.md","FILE","7395","3670","F73807589B720EC05713CDBB8AFAD99A902B0E51204FE50E29531ECD23B3EBAA","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BMA_AEAT_MONTHLY_SEQUENTIAL_V0_6_4_RESULT_ES.md","FILE","6972","3309","63CA4F3F66075C7EC2BE26408660CFDB956079A8ADDCACF3BE04F5FE3241D395","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BMA_AEAT_V0_6_1_INVALIDATION_ES.md","FILE","2236","1173","0A52B00A29C4F5ADF184562869CA59BAA29A0FCDD0FA18583522238BF16C35AD","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BMA_CHECKPOINT_INDUSTRIAL_NO_BIOLOGICO_Y_PLANTAS_20260809.md","FILE","4155","2272","70913674D8D61062A24A28FADBBB4BB91207375C6A00B02023E4283ED45EE293","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BMA_SEASONAL_LEARNING_2022_2024_DESIGN_V1_ES.md","FILE","5637","2680","5F2ED5AA42EEE2E4E37300519EA5F5F7AFD57E1BBEB3D65E6BFEDC7A4435BAF6","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BMA_TEMPORAL_RESOLUTION_INVARIANT_ES.md","FILE","3175","1566","69547E27CD51B22E6A747D56014B264AD1205FF30C5CB2DBC2D1A3D221064602","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BMA_TERRA_SUCCESSION_20260810_ES.md","FILE","9077","4542","82FF88E368CF38429AFF67D815EAD128FDF0DE09CC493EEDDD28E45EFCF4C734","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/BMA_TRAINING_AGE_CAUSAL_CHAINS_V0_6_6_DESIGN_ES.md","FILE","3636","1732","F88E6C317415AC36C2B8BD9461C010FFA414BDC25BD13B38C932675762AE0D1C","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/EVIDENCE_BOUNDARY.md","FILE","1619","856","9534C1D97312E027D53E2D18C05EEBCC80EEB14CAA7AE27996F6CA39BA1F8DAC","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/INDUSTRIAL_DAILY_SOURCE_CANDIDATES_V2_ES.md","FILE","4300","2181","BA1E4617CAA14F09FE49504523655405E41D72D4522CAA09E8FEFF12C7E8F6E3","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/INDUSTRIAL_DAILY_SOURCE_CANDIDATES_V3_ES.md","FILE","8175","3613","5FBC4F1E9FDBC2F8E6FEE49A5E7534470B22A67BA7CAC73F631A6F22175E0060","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/INDUSTRIAL_DAILY_SOURCE_GATE_ES.md","FILE","4627","2245","7A4EDC362CA06504B1CE7A95A24E71BC4F1FED8F9A465E44071CBCFC787F1FB9","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/INDUSTRIAL_DATA_SOURCE_AUDIT_ES_V2.md","FILE","7123","3643","8278D01C572D2175FBDDA184848C3DA82E99E4D2EBDDEC4F148742C37C0042AC","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/INDUSTRIAL_DATA_SOURCE_AUDIT_ES.md","FILE","4983","2516","DA277BF1700EEA5B6A6529617A09C8EC00EDF1BDECE1B16D08F8CE105803FB7E","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/MERCABARNA_FLOR_V0_5_0_RESULT_ES.md","FILE","3346","1694","CF488A9EDC6963EC8145B21497A8459E20681BC6329C7A05A8D1BC9DEA4651C2","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/MERCABARNA_FLOR_V0_5_1_SUBFAMILY_RESULT_ES.md","FILE","3574","1734","24E8719F89794C4A56DA467C253FDEC2769D79D90DBB9E864F002B291D119E62","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/NAMING_AND_LINEAGE.md","FILE","1548","817","ACBAD82C9B4202A5F2EDDA0E599BBA3B1B77A601C7CE6CAE8AFC7350B7F8684D","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","docs/SOURCE_THREAD_AUDIT_ES.md","FILE","1838","1046","56B6C5FD931D372F4C8E7C0BF5E025F90CF9F87CC517EBA8EBE3700395D31541","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/","DIRECTORY","0","0",,"DIRECTORY_ENTRY"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/audits/","DIRECTORY","0","0",,"DIRECTORY_ENTRY"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/audits/aeat-ch72-monthly-seasonal-v0.6.5-2024-causal-completion-oct-dec-audit.json","FILE","1953","1014","D5C0ED5CA2CC659BE6A5980FCBA1166E5EA156ECEBCB9B6A4EADE518C4455E17","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/audits/aeat-ch72-monthly-seasonal-v0.6.5-2024-causal-mini-jan-sep-audit.json","FILE","1940","964","F0CC90F1DB6F6102CB7153F184568EE9A6D8F475E395D933297B778C2A34490A","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/industrial_source_candidates_20260809.json","FILE","9166","3828","EE72ED858F6B9B79A4B79881078F1368AD6EABDE83572E6A9F0BF608B2195802","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/","DIRECTORY","0","0",,"DIRECTORY_ENTRY"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/aeat-ch72-monthly-seasonal-v0.6.5-continuous-chain-2022-2024.json","FILE","1877","911","FA8CBBF77DB03A7E63E31A90A9ACAD7E68508E88558D0A92310A438955F90ED8","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/aeat-ch72-monthly-sequential-v0.6.4.json","FILE","2176","1120","704B49CEC51A2D6680F40307E7220CE9B7C7DBCFBEB51015671A5974F5197004","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/aeat-ch72-nov2024-v0.6.1-invalidation.json","FILE","1094","583","AF23DDA2691FF8BF68561CA70C71C77FC14652CD68991FC7222FE72C43E9D7C8","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/aeat-ch72-nov2024-v0.6.1.json","FILE","3452","1554","7B763696D922681C0BE8E80FFA477F0582087652AB8FBF9CD65C7FAB49F1D267","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/aeat-steel-source-audit-20260809.json","FILE","4684","1822","7834AB0EA1D7BF36A225A49BD35A0B7808B5F8ED3D6656FB7CDD5B7E275BEBB7","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/bma-terra-succession-20260810.json","FILE","3038","1572","5C0DA2088FC5B2678731C4301C1D8A0C64EADD7C33BC36F9FFB28FF629FE30F8","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/github-agent-bma-v065-terra-succession-push-attempt1-failed.json","FILE","615","377","07DCED5C529E439DE08605329123FB715405A9DA9B93C1A1FBFF26E3DA7461CD","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/github-agent-bma-v065-terra-succession-push-attempt2-failed.json","FILE","713","415","8C3F5042DDF4F3A2DCF561241E70D0EFFE41ED0F7CC6D13273C4B648B43D36F4","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/github-agent-bma-v065-terra-succession-push-attempt3-large-cut-failed.json","FILE","760","463","760D9275FB1AD01D5F100D1D089FD4FA5A8A4DE3A715A57C1D1672A6E7E1A388","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/mercabarna-flor-v0.4.1.json","FILE","643","443","BF6D940E73EB928F412739C8622B08FA50890D92BF389A859261686056D9C6FB","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/mercabarna-flor-v0.5.0.json","FILE","2907","1387","36AC6E4B502F09D1AB73557CCA72949BDB99D0179895BD5D54D43DA487E6FE4B","DECOMPRESSED_BYTES_HASHED"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","evidence/receipts/mercabarna-flor-v0.5.1.json","FILE","2071","1058","7062C845775F6DEDDCB5E9BF688D96115D6ADC9059707314FE534C73E45BDD64","DECOMPRESSED_BYTES_HASHED"
